Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
395	11	31	53
396	10	30	52
397	45	3	25
398	11	31	52
399	3	25	45
400	25	45	3
401	24	44	3
402	3	25	47
403	5	25	47
404	51	9	29
405	45	3	25
406	27	49	7
407	3	25	47
408	3	25	47
409	26	46	4
410	48	7	28
411	4	24	46
412	5	27	49
413	31	53	11
414	5	27	48
415	37	98	11
416	49	7	29
417	6	28	50
418	50	8	30
419	6	26	48
420	28	50	8
421	27	47	5
422	6	26	48
423	52	10	30
424	26	48	6
425	49	7	29
426	28	50	3
427	50	8	30
428	5	25	46
429	27	49	5
430	47	3	25
431	29	51	9
432	27	49	7
433	29	50	9
434	50	8	30
435	46	4	26
436	7	29	49
437	47	5	25
438	25	47	5
439	9	31	53
440	26	46	4
441	3	25	45
442	48	6	28
443	49	7	27
444	50	8	30
445	51	9	31
446	7	29	51
447	47	5	27
448	7	29	51
449	31	53	11
450	27	49	7
451	46	5	26
452	11	31	56
453	27	47	5
454	7	27	49
455	29	49	7
456	5	25	47
457	25	47	5
458	47	5	27
459	50	8	28
460	50	8	28
461	28	50	8
462	27	49	7
463	7	27	49
464	28	50	8
465	10	30	52
466	50	8	30
467	31	51	9
468	3	25	45
469	25	50	5
470	29	49	7
471	3	24	46
472	51	9	31
473	28	48	7
474	24	44	3
475	47	5	25
476	25	47	5
477	5	25	47
478	29	51	9
479	47	3	25
480	5	27	49
481	51	9	29
482	3	24	46
483	30	50	9
484	51	9	31
485	3	25	47
486	47	3	25
487	52	10	30
488	25	46	5
489	3	25	45
490	25	45	3
491	10	30	52
492	31	51	9
493	3	25	47
494	3	25	47
495	47	5	27
496	52	10	32
497	50	7	29
498	3	25	45
499	7	27	49
500	47	5	25
501	47	3	25
502	5	25	47
503	51	9	29
504	25	45	3
505	52	8	30
506	29	49	7
507	25	45	3
508	5	27	49
509	48	4	26
510	47	5	27
511	11	31	53
512	3	25	47
513	25	45	3
514	7	28	50
515	30	52	10
516	28	48	6
517	7	27	49
518	7	29	51
519	29	51	9
520	26	48	6
521	29	49	7
522	5	25	47
523	30	50	8
524	28	50	8
525	45	3	25
526	47	5	27
527	32	52	10
528	28	50	8
529	31	51	9
530	52	10	30
531	27	49	7
532	28	50	8
533	31	53	11
534	24	46	4
535	50	8	30
536	3	25	47
537	46	3	24
538	48	6	28
539	6	26	48
540	27	49	7
541	5	27	49
542	53	9	31
543	29	51	9
544	31	52	11
545	9	29	50
546	7	29	49
547	29	51	9
548	53	11	31
549	25	47	3
550	50	9	30
551	45	3	25
552	5	25	47
553	49	7	27
554	51	7	29
555	31	53	11
556	3	25	45
557	5	27	49
558	5	27	49
559	49	7	29
560	27	47	5
561	44	3	24
562	50	8	30
563	26	48	4
564	4	26	46
565	31	51	9
566	27	49	7
567	9	30	50
568	29	49	7
569	24	46	4
570	55	9	31
571	49	5	27
572	7	27	49
573	49	7	27
574	8	30	52
575	46	3	25
576	7	27	49
577	51	9	31
578	11	31	53
579	47	5	25
580	7	29	55
581	45	3	25
582	29	49	7
583	3	25	47
584	7	27	49
585	50	8	30
586	52	10	30
587	5	27	49
588	27	49	5
589	30	50	8
590	9	31	52
591	26	46	4
592	9	31	51
593	44	3	24
594	48	6	28
595	25	47	5
596	31	51	9
597	49	5	27
598	6	26	48
599	7	29	51
600	45	3	25
601	48	5	27
602	9	29	51
603	27	47	5
604	46	5	26
605	7	28	48
606	31	51	9
607	11	31	53
608	4	24	46
609	8	30	50
610	47	5	27
611	3	25	45
612	7	27	49
613	46	5	26
614	24	44	3
615	7	27	49
616	5	27	47
617	50	7	29
618	27	48	7
619	11	31	53
620	27	47	5
621	50	9	29
622	51	9	29
623	25	47	5
624	7	29	49
625	47	5	27
626	5	27	49
627	47	5	27
628	31	52	11
629	29	51	9
630	28	50	8
631	47	3	25
632	50	9	29
633	51	9	31
634	50	8	30
635	52	9	30
636	49	7	29
637	51	9	31
638	7	27	49
639	25	45	3
640	7	27	48
641	45	3	25
642	25	45	3
643	6	26	48
644	51	9	31
645	31	53	9
646	5	27	49
647	26	48	5
648	45	3	25
649	31	52	11
650	52	8	30
651	53	9	31
652	31	52	11
653	24	46	4
654	5	25	47
655	48	7	28
656	5	25	47
657	30	52	10
658	31	52	11
659	27	49	7
660	7	29	49
661	51	9	31
662	7	29	51
663	27	47	5
664	50	8	30
665	27	47	5
666	52	9	30
667	9	31	53
668	24	46	3
669	47	5	27
670	3	25	45
671	11	31	53
672	27	48	7
673	6	28	50
674	50	8	30
675	5	27	49
676	7	29	51
677	49	3	25
678	44	3	24
679	3	25	47
680	27	49	5
681	46	4	26
682	47	5	25
683	52	10	30
684	3	25	45
685	53	7	31
686	25	47	5
687	9	31	53
688	48	7	28
689	8	30	52
690	7	29	50
691	51	7	29
692	28	50	8
693	11	31	52
694	9	31	52
695	49	7	29
696	8	28	50
697	51	9	31
698	29	49	7
699	27	47	5
700	27	47	5
701	7	29	49
702	30	50	8
703	3	25	47
704	10	30	52
705	47	3	25
706	4	24	46
707	49	5	27
708	48	7	28
709	50	7	29
710	9	31	53
711	11	31	53
712	50	6	28
713	5	27	47
714	6	28	50
715	27	48	7
716	29	51	9
717	47	5	25
718	45	3	25
719	27	47	5
720	50	8	28
721	8	30	52
722	47	5	27
723	5	27	49
724	50	9	30
725	9	29	51
726	53	11	31
727	48	5	27
728	27	48	7
729	31	52	9
730	27	48	7
731	5	25	47
732	50	9	30
733	5	27	49
734	51	9	31
735	25	45	3
736	53	11	31
737	31	52	11
738	46	5	26
739	52	11	31
740	5	25	47
741	29	50	9
742	51	9	31
743	27	47	5
744	9	31	53
745	47	5	27
746	49	7	27
747	3	25	47
748	45	3	25
749	3	25	47
750	27	49	5
751	7	28	50
752	52	10	30
753	28	50	8
754	49	5	27
755	8	28	50
756	50	6	28
757	45	3	25
758	29	51	9
759	29	51	7
760	47	5	27
761	48	5	27
762	50	8	30
763	9	29	50
764	8	28	50
765	5	25	47
766	47	3	25
767	5	25	47
768	30	50	9
769	3	25	46
770	49	5	27
771	5	25	47
772	7	29	49
773	6	28	48
774	45	3	25
775	10	30	52
776	6	28	48
777	50	6	28
778	47	5	27
779	52	9	30
780	28	50	8
781	25	47	5
782	5	25	47
783	30	52	10
784	9	31	51
785	5	25	47
786	5	25	47
787	52	10	32
788	50	8	30
789	30	52	10
790	45	3	25
791	25	47	5
792	5	25	47
793	53	11	31
794	27	49	7
795	49	5	27
796	3	25	47
797	48	5	27
798	47	5	27
799	31	53	11
800	3	25	47
801	5	27	47
802	27	49	7
803	45	3	25
804	25	47	5
805	47	5	27
806	25	45	3
807	27	49	7
808	31	51	9
809	31	52	11
810	53	9	31
811	3	25	47
812	28	48	6
813	47	3	25
814	26	48	6
815	27	49	5
816	48	7	27
817	52	10	32
818	47	5	27
819	4	24	46
820	9	29	51
821	47	5	27
822	27	49	7
823	6	78	54
824	8	30	50
825	51	7	29
826	10	30	52
827	5	26	48
828	27	47	5
829	25	46	3
830	8	28	50
831	31	53	9
832	50	8	30
833	8	28	50
834	45	3	25
835	48	6	26
836	27	49	7
837	44	3	24
838	5	25	47
839	9	29	51
840	4	24	46
841	51	7	29
842	48	7	27
843	27	47	5
844	31	52	11
845	28	48	6
846	31	51	9
847	7	27	48
848	7	29	49
849	47	3	25
850	5	27	47
851	5	27	49
852	9	29	51
853	30	52	10
854	9	31	52
855	47	5	25
856	48	7	28
857	25	45	3
858	30	50	8
859	47	5	27
860	29	51	9
861	7	29	51
862	24	46	4
863	5	25	47
864	47	5	25
865	27	47	5
866	29	51	9
867	53	11	31
868	25	45	3
869	49	7	29
870	5	25	46
871	8	30	52
872	45	3	25
873	5	27	49
874	9	31	51
875	3	25	47
876	25	47	5
877	50	8	28
878	26	46	5
879	29	50	9
880	30	52	10
881	27	48	7
882	9	31	53
883	29	49	7
884	26	48	6
885	25	46	5
886	31	53	11
887	24	46	4
888	27	49	7
889	50	9	29
890	27	47	5
891	47	5	27
892	45	3	25
893	7	29	51
894	26	52	6
895	5	25	46
896	5	27	47
897	5	27	47
898	47	5	27
899	27	48	7
900	7	29	49
901	51	9	29
902	47	5	25
903	8	28	50
904	10	32	54
905	7	29	49
906	49	5	27
907	3	25	47
908	51	9	31
909	4	24	46
910	5	27	49
911	28	48	7
912	30	52	10
913	26	48	6
914	51	9	31
915	11	31	52
916	23	45	3
917	27	49	7
918	50	8	30
919	47	5	25
920	48	5	27
921	25	47	5
922	5	25	47
923	46	5	26
924	27	48	7
925	25	47	5
926	48	6	28
927	28	50	8
928	51	9	31
929	30	52	10
930	3	25	45
931	9	29	50
932	8	30	52
933	3	25	47
934	8	28	50
935	9	31	51
936	49	7	29
937	3	25	45
938	5	25	46
939	53	9	31
940	29	49	7
941	47	5	25
942	45	3	25
943	8	30	52
944	31	53	11
945	45	3	25
946	3	25	47
947	8	28	50
948	45	3	25
949	9	29	51
950	27	47	5
951	49	7	29
952	50	8	30
953	5	27	48
954	29	50	9
955	5	25	47
956	6	26	48
957	31	52	11
958	27	49	7
959	8	28	50
960	50	9	30
961	30	52	10
962	52	5	26
963	54	6	32
964	25	45	3
965	51	9	31
966	29	51	9
967	5	27	47
968	49	7	29
969	31	53	11
970	46	4	26
971	50	8	30
972	9	29	50
973	27	49	7
974	7	27	49
975	7	29	49
976	30	52	10
977	47	5	27
978	7	29	49
979	7	29	49
980	28	50	8
981	30	50	8
982	25	45	3
983	25	47	5
984	5	27	47
985	29	51	9
986	50	8	30
987	29	49	7
988	7	27	49
989	31	53	11
990	25	46	5
