Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
390	1006	1031	1051
391	311	336	356
392	545	571	591
393	537	563	585
394	761	786	806
395	948	973	993
396	492	518	538
397	226	252	272
398	228	252	274
399	564	590	610
400	847	873	893
401	805	829	851
402	543	569	589
403	618	641	661
404	121	144	166
405	504	530	550
406	126	152	172
407	359	383	405
408	72	98	118
409	206	229	251
410	136	162	182
411	166	191	211
412	768	792	814
413	978	1002	1024
414	59	83	105
415	376	402	422
416	146	171	191
417	821	844	866
418	990	1015	1035
419	37	63	83
420	606	630	652
421	297	321	343
422	101	126	146
423	168	193	213
424	574	600	620
425	654	678	700
426	686	711	731
427	319	345	365
428	202	228	248
429	910	934	956
430	954	978	999
431	892	918	938
432	99	123	145
433	369	395	415
434	86	111	131
435	108	133	153
436	897	921	943
437	699	724	744
438	940	964	986
439	688	713	733
440	648	674	694
441	287	312	332
442	240	265	285
443	833	857	879
444	324	348	370
445	457	483	503
446	449	473	494
447	565	589	611
448	403	428	448
449	602	627	647
450	577	602	622
451	507	533	553
452	779	805	825
453	37	63	85
454	551	576	596
455	510	533	555
456	168	192	214
457	156	182	202
458	884	908	930
459	640	666	686
460	536	560	581
461	778	803	823
462	604	628	650
463	369	395	415
464	546	572	592
465	48	74	94
466	956	982	1002
467	241	265	287
468	1021	6	26
469	876	902	922
470	44	70	90
471	391	417	437
472	738	763	783
473	74	98	120
474	416	439	461
475	1012	1036	1057
476	207	231	253
477	406	431	451
478	245	269	291
479	37	63	84
480	445	469	491
481	911	936	956
482	982	1005	1027
483	781	807	827
484	301	326	346
485	170	194	216
486	978	1003	1023
487	225	250	270
488	322	346	368
489	136	162	182
490	880	906	926
491	305	330	350
492	828	851	873
493	972	998	1018
494	427	453	473
495	555	580	600
496	408	434	455
497	837	863	883
498	342	368	388
499	251	276	296
500	314	340	360
501	377	400	422
502	4	30	50
503	743	769	789
504	160	184	206
505	177	201	223
506	24	50	70
507	235	261	281
508	374	400	420
509	406	432	452
510	744	768	789
511	832	855	877
512	529	553	575
513	877	902	922
514	18	43	63
515	176	201	221
516	1010	1034	1056
517	81	105	127
518	333	357	379
519	44	70	90
520	989	1014	1034
521	532	558	578
522	616	642	662
523	427	452	472
524	806	829	851
525	560	583	603
526	331	355	376
527	326	351	373
528	961	985	1007
529	422	445	467
530	466	492	512
531	684	707	729
532	595	619	641
533	657	683	703
534	337	362	382
535	277	303	325
536	80	106	126
537	521	547	567
538	521	547	567
539	560	585	605
540	380	405	425
541	864	887	909
542	13	37	58
543	586	611	631
544	348	371	393
545	212	237	257
546	1013	1037	3
547	897	923	943
548	670	694	716
549	937	963	983
550	665	691	711
551	63	89	109
552	759	784	804
553	311	336	356
