Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
395	26	48	6
396	8	28	50
397	5	25	46
398	25	47	5
399	46	4	24
400	48	7	28
401	53	11	33
402	26	48	6
403	51	9	31
404	48	5	26
405	53	9	31
406	52	10	30
407	8	30	52
408	28	48	6
409	48	7	28
410	11	31	52
411	48	6	28
412	30	50	8
413	7	29	51
414	48	5	27
415	28	50	8
416	29	49	7
417	3	25	47
418	47	3	25
419	51	7	29
420	9	31	51
421	45	3	25
422	50	8	30
423	49	7	29
424	25	47	5
425	27	49	7
426	25	47	5
427	49	7	29
428	48	4	26
429	31	52	9
430	27	47	5
431	7	27	49
432	46	5	26
433	26	48	4
434	28	48	6
435	53	11	31
436	9	29	51
437	25	47	5
438	27	48	7
439	47	5	27
440	45	3	25
441	10	30	52
442	26	48	6
443	3	24	46
444	31	52	11
445	27	47	5
446	5	27	49
447	5	25	47
448	9	29	51
449	49	7	27
450	50	8	30
451	7	29	51
452	53	11	31
453	8	30	50
454	29	51	9
455	48	7	28
456	7	29	51
457	27	47	5
458	7	29	51
459	26	48	6
460	27	47	5
461	49	7	27
462	47	5	27
463	9	29	51
464	47	3	25
465	29	51	9
466	47	5	27
467	45	3	25
468	29	51	9
469	27	48	5
470	49	7	29
471	7	28	50
472	5	27	49
473	8	30	52
474	28	50	8
475	31	51	9
476	27	47	5
477	51	9	31
478	5	25	47
479	48	7	27
480	5	27	47
481	48	7	28
482	25	47	5
483	7	29	51
484	8	30	50
485	52	10	30
486	9	31	53
487	5	25	47
488	31	51	9
489	7	29	51
490	48	4	26
491	29	49	7
492	7	29	49
493	5	25	46
494	50	9	30
495	51	9	31
496	48	6	28
497	30	50	8
498	49	5	27
499	29	51	7
500	29	50	7
501	28	48	7
502	7	29	51
503	53	11	33
504	50	8	30
505	29	49	7
506	53	9	31
507	8	28	50
508	48	5	26
509	52	11	31
510	9	29	50
511	31	52	11
512	49	7	29
513	10	30	52
514	5	27	48
515	30	50	8
516	51	7	29
517	9	29	51
518	6	28	50
519	51	9	29
520	50	8	30
521	27	47	5
522	31	53	9
523	7	27	49
524	29	51	9
525	7	29	51
526	8	30	52
527	10	30	52
528	46	4	26
529	9	29	51
530	47	5	27
531	8	28	50
532	7	28	48
533	47	5	27
534	31	52	11
535	49	7	29
536	7	29	51
537	45	3	25
538	7	29	51
539	54	8	30
540	49	7	29
541	48	5	27
542	47	3	25
543	30	52	10
544	45	3	25
545	9	31	51
546	6	28	50
547	48	6	26
548	27	49	7
549	7	27	49
550	5	25	47
551	49	7	29
552	27	49	5
553	47	5	27
554	50	8	28
555	9	30	52
556	25	47	3
557	9	29	51
558	5	27	48
559	7	29	51
560	53	9	31
561	31	52	11
562	28	48	3
563	49	7	29
564	29	51	7
565	27	47	5
566	8	34	56
567	29	50	7
568	30	50	8
569	49	7	29
570	28	48	6
571	27	47	5
572	52	8	30
573	25	47	3
574	50	7	28
575	28	50	8
576	3	25	45
577	3	25	47
578	30	52	10
579	5	25	47
580	31	52	11
581	50	8	30
582	49	7	27
583	7	29	51
584	25	46	5
585	45	3	25
586	51	9	29
587	25	47	5
588	3	25	47
589	49	7	27
590	28	50	8
591	28	48	6
592	25	47	3
593	28	50	8
594	24	46	4
595	28	50	8
596	25	47	5
597	7	29	51
598	31	53	11
599	48	6	26
600	30	52	10
601	8	28	50
602	4	24	46
603	49	5	27
604	31	51	9
605	24	46	4
606	47	5	25
607	27	47	5
608	30	50	8
609	27	49	7
610	29	51	9
611	3	24	44
612	47	3	25
613	50	8	28
614	7	29	51
615	9	30	50
616	10	30	52
617	10	30	52
618	30	52	10
619	25	45	3
620	25	47	5
621	46	4	26
622	47	5	25
623	8	28	50
624	25	47	5
625	45	3	25
626	52	8	30
627	25	46	5
628	52	10	30
629	3	25	45
630	45	3	25
631	50	8	30
632	45	3	25
633	5	26	46
634	47	5	25
635	5	27	47
636	8	30	52
637	5	25	47
638	48	7	28
639	26	48	6
640	9	30	52
641	10	30	52
642	53	11	31
643	7	29	49
644	27	49	3
645	9	30	52
646	27	49	7
647	5	25	47
648	50	4	26
649	26	48	6
650	7	27	49
651	27	49	7
652	49	5	27
653	27	47	5
654	10	30	52
655	49	5	27
656	47	5	27
657	28	48	7
658	3	25	47
659	46	3	24
660	4	24	46
661	3	24	44
662	7	29	51
663	50	8	30
664	45	3	25
665	25	47	5
666	50	8	30
667	8	28	50
668	47	3	25
669	25	45	3
670	52	10	30
671	5	26	46
672	3	25	46
673	25	45	3
674	26	48	6
675	29	51	9
676	31	52	9
677	8	28	50
678	53	5	27
679	25	47	5
680	52	10	30
681	6	28	50
682	3	25	47
683	51	9	31
684	3	25	47
685	7	27	49
686	50	8	30
687	31	51	9
688	5	27	47
689	11	31	53
690	9	31	51
691	56	10	36
692	6	28	48
693	53	11	31
694	24	46	4
695	47	5	25
696	7	27	49
697	49	7	29
698	6	26	48
699	31	53	11
700	46	5	25
701	48	6	28
702	9	31	51
703	45	3	25
704	49	7	29
705	48	6	28
706	47	5	27
707	3	25	47
708	47	5	25
709	5	27	47
710	27	47	5
711	7	27	49
712	48	6	26
713	29	49	7
714	3	25	47
715	48	6	28
716	30	50	8
717	7	29	51
718	7	27	49
719	27	47	5
720	46	4	26
721	27	47	5
722	28	50	8
723	25	45	3
724	47	5	25
725	53	11	31
726	48	6	28
727	25	45	3
728	48	6	28
729	45	3	25
730	31	53	11
731	29	49	7
732	26	46	4
733	25	45	3
734	5	27	47
735	29	51	9
736	45	3	25
737	51	9	31
738	24	46	4
739	7	28	50
740	50	8	30
741	7	27	49
742	5	25	47
743	9	29	51
744	29	51	9
745	6	26	48
746	7	29	49
747	47	3	25
748	31	52	9
749	5	27	49
750	25	46	5
751	50	7	29
752	7	29	51
753	26	46	5
754	45	3	25
755	8	30	52
756	47	5	27
757	7	27	49
758	52	10	32
759	4	26	48
760	5	25	47
761	3	25	45
762	29	49	7
763	29	49	7
764	25	47	5
765	3	25	45
766	31	51	9
767	5	25	82
768	49	5	27
769	31	51	9
770	25	47	5
771	30	50	8
772	45	3	25
773	5	27	47
774	53	11	33
775	5	27	47
776	31	51	9
777	3	25	47
778	29	51	9
779	46	4	24
780	29	51	9
781	4	24	46
782	4	24	46
783	30	52	10
784	25	45	3
785	7	27	49
786	4	26	46
787	9	36	60
788	27	49	7
789	50	7	29
790	56	5	32
791	7	28	48
792	53	9	31
793	6	28	50
794	53	9	31
795	29	51	9
796	5	26	46
797	46	5	25
798	6	26	48
799	25	45	3
800	31	53	9
801	48	5	27
802	25	46	3
803	27	49	7
804	29	51	9
805	49	7	29
806	25	47	5
807	27	49	7
808	50	8	28
809	24	46	4
810	9	31	53
811	53	11	31
812	30	52	10
813	27	49	7
814	51	9	31
815	7	29	51
816	49	7	29
817	26	46	5
818	25	47	5
819	28	48	6
820	27	49	7
821	5	27	49
822	25	45	3
823	51	7	29
824	27	49	7
825	28	50	8
826	31	53	11
827	30	52	8
828	47	5	27
829	49	5	27
830	3	25	47
831	5	27	49
832	4	24	46
833	31	51	9
834	24	46	4
835	31	51	9
836	3	25	47
837	25	47	5
838	8	30	50
839	47	5	27
840	7	27	49
841	9	29	50
842	8	30	52
843	5	27	47
844	27	47	5
845	29	51	9
846	5	27	49
847	30	52	10
848	45	3	25
849	10	30	52
850	7	28	50
851	30	52	10
852	3	25	47
853	47	5	27
854	50	8	30
855	25	47	5
856	9	29	51
857	49	5	27
858	29	51	7
859	47	3	25
860	26	48	4
861	31	53	11
862	10	30	52
863	9	31	53
864	27	49	7
865	6	28	50
866	3	25	45
867	29	51	9
868	50	9	29
869	3	25	45
870	50	8	30
871	44	3	24
872	48	6	28
873	9	30	52
874	3	25	45
875	27	47	5
876	27	48	5
877	47	3	25
878	26	48	6
879	47	5	27
880	30	52	9
881	26	48	6
882	52	10	30
883	47	5	27
884	9	30	54
885	5	25	47
886	31	53	11
887	30	50	9
888	29	51	9
889	44	3	24
890	49	5	27
891	5	27	49
